Title,Product Type and Company,City,Price,Link of product
Iball 3g tap with all accesories,Tablets » iBall,"Marigold Enclave, Guwahati",2200,http://olx.in/item/iball-3g-tap-with-all-accesories-IDVuXm7.html#058dd9579b
lenovo idea tab,Tablets » Lenovo,Silchar,5000,http://olx.in/item/lenovo-idea-tab-IDVuUup.html#058dd9579b
Micromax canvas knight a290,Tablets » Micromax,Guwahati,7500,http://olx.in/item/micromax-canvas-knight-a290-IDVuRil.html#058dd9579b
SAMSUNG tab 3 Neo with 3g,Tablets » Samsung,Guwahati,7000,http://olx.in/item/samsung-tab-3-neo-with-3g-IDVuNtp.html#058dd9579b
Brand new-Blackberry Playbook Tablet 16gb+free gift,Tablets » Blackberry,Guwahati,4800,http://olx.in/item/brand-new-blackberry-playbook-tablet-16gb-free-gift-IDWAuzJ.html#058dd9579b
Asus fonepad 7 tablet,Tablets » Asus,Jorhat,10000,http://olx.in/item/asus-fonepad-7-tablet-IDVuBg1.html#058dd9579b
Blackberry playbook,Tablets » Blackberry,Guwahati,3500,http://olx.in/item/blackberry-playbook-IDWHJqd.html#058dd9579b
HCL MeTablet Mobile Phone,Tablets » HCL,Silchar,5000,http://olx.in/item/hcl-metablet-mobile-phone-IDVurVb.html#058dd9579b
Zync Rainbow Z81 3G Calling Tablet,Tablets » Other Tablets,Nagaon,4700,http://olx.in/item/zync-rainbow-z81-3g-calling-tablet-IDUVry9.html#058dd9579b
Acer tablet at Rs. 5500/-,Tablets » Acer,Tezpur,5500,http://olx.in/item/acer-tablet-at-rs-5500-IDVukyF.html#058dd9579b
Lava tablet ivory+,Tablets » Other Tablets,Bongaigaon,5500,http://olx.in/item/lava-tablet-ivory-IDVua7J.html#058dd9579b
Penta T-pad new tab,Tablets » Other Tablets,Guwahati,4070,http://olx.in/item/penta-t-pad-new-tab-IDVu9jL.html#058dd9579b
